"","fips","Warm","Cold","ppt","series","SYMBOL","SI_m","SI_ft"
"465",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","FRNI",21.338608595913,70.0085583855413
"261",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","FRNI",21.6427239466278,71.0063121608525
"143",26009,14.8,-12.19,780.550937126804,"DEER PARK","LALA",14.6137904984917,47.9455068848153
"313",26009,14.8,-12.19,780.550937126804,"KINROSS","LALA",15.0220846882703,49.285054751543
"177",26009,14.8,-12.19,780.550937126804,"EAST LAKE","LALA",15.838910631847,51.9649298945113
"126",26009,14.8,-12.19,780.550937126804,"DAWSON","LALA",15.868488451456,52.0619699850919
"347",26009,14.8,-12.19,780.550937126804,"LUPTON","LALA",16.0775047947689,52.7477191429427
"330",26009,14.8,-12.19,780.550937126804,"LEELANAU","LALA",16.2024659502327,53.157696687115
"432",26009,14.8,-12.19,780.550937126804,"OTISCO","LALA",16.8874795332227,55.4051165788147
"483",26009,14.8,-12.19,780.550937126804,"TAWAS","LALA",17.3415426261273,56.8948248888693
"75",26009,14.8,-12.19,780.550937126804,"CATHRO","LALA",17.5543991758612,57.5931731491511
"24",26009,14.8,-12.19,780.550937126804,"ANGELICA","LALA",17.930296787656,58.8264330303675
"449",26009,14.8,-12.19,780.550937126804,"RUBICON","LALA",18.0987189503437,59.3789991809177
"41",26009,14.8,-12.19,780.550937126804,"AU GRES","LALA",18.2697073587254,59.9399847727211
"364",26009,14.8,-12.19,780.550937126804,"MANCELONA","LALA",18.5315626717335,60.7990901303592
"296",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","LALA",18.9177621675408,62.0661488436376
"398",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","LALA",19.143694811244,62.8073976746852
"109",26009,14.8,-12.19,780.550937126804,"CROSWELL","LALA",19.3593728413349,63.515002760285
"228",26009,14.8,-12.19,780.550937126804,"HALFADAY","LALA",19.5055439951977,63.9945669133784
"279",26009,14.8,-12.19,780.550937126804,"KALKASKA","LALA",19.6932469198545,64.610390157003
"211",26009,14.8,-12.19,780.550937126804,"ENSLEY","LALA",19.8869399281368,65.2458659059607
"245",26009,14.8,-12.19,780.550937126804,"IOSCO","LALA",19.9107546706793,65.3239982633837
"7",26009,14.8,-12.19,780.550937126804,"ALLENDALE","LALA",19.9333972470687,65.3982849313278
"160",26009,14.8,-12.19,780.550937126804,"DEFORD","LALA",20.0156360115761,65.6680971508403
"92",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","LALA",20.1169841564795,66.0006041879248
"415",26009,14.8,-12.19,780.550937126804,"ONAWAY","LALA",20.2304856994825,66.3729845783546
"58",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","LALA",21.0135645775478,68.9421410024535
"194",26009,14.8,-12.19,780.550937126804,"EMMET","LALA",21.2877607208303,69.8417346483935
"381",26009,14.8,-12.19,780.550937126804,"MENOMINEE","LALA",21.6201723969795,70.932324137072
"466",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","LALA",22.2599993081789,73.0314937932377
"262",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","LALA",22.5772462114196,74.0723300899592
"144",26009,14.8,-12.19,780.550937126804,"DEER PARK","PIBA2",13.752645216515,45.1202270883037
"314",26009,14.8,-12.19,780.550937126804,"KINROSS","PIBA2",14.8672895728807,48.7771967614195
"178",26009,14.8,-12.19,780.550937126804,"EAST LAKE","PIBA2",15.0049121480155,49.2287143963764
"331",26009,14.8,-12.19,780.550937126804,"LEELANAU","PIBA2",15.3546693677808,50.376211836551
"433",26009,14.8,-12.19,780.550937126804,"OTISCO","PIBA2",16.534143704983,54.2458782971885
"127",26009,14.8,-12.19,780.550937126804,"DAWSON","PIBA2",16.7882039718714,55.0794093565334
"450",26009,14.8,-12.19,780.550937126804,"RUBICON","PIBA2",17.1616906131595,56.304759229526
"348",26009,14.8,-12.19,780.550937126804,"LUPTON","PIBA2",17.3855605533095,57.0392406604642
"365",26009,14.8,-12.19,780.550937126804,"MANCELONA","PIBA2",17.4271004357064,57.1755263638662
"484",26009,14.8,-12.19,780.550937126804,"TAWAS","PIBA2",17.825785155942,58.4835470995472
"25",26009,14.8,-12.19,780.550937126804,"ANGELICA","PIBA2",17.883477417776,58.6728261738058
"42",26009,14.8,-12.19,780.550937126804,"AU GRES","PIBA2",17.8965966569457,58.715868297066
"110",26009,14.8,-12.19,780.550937126804,"CROSWELL","PIBA2",18.6421972762623,61.1620645546665
"280",26009,14.8,-12.19,780.550937126804,"KALKASKA","PIBA2",18.6898923684358,61.3185445158656
"76",26009,14.8,-12.19,780.550937126804,"CATHRO","PIBA2",18.6936212483685,61.3307783739123
"229",26009,14.8,-12.19,780.550937126804,"HALFADAY","PIBA2",18.9249873110936,62.0898533828531
"297",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","PIBA2",18.9558231498596,62.1910208328727
"399",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","PIBA2",18.9897058860628,62.3021846655603
"8",26009,14.8,-12.19,780.550937126804,"ALLENDALE","PIBA2",19.3005229730502,63.3219257646004
"161",26009,14.8,-12.19,780.550937126804,"DEFORD","PIBA2",19.4413745588102,63.7840372664377
"416",26009,14.8,-12.19,780.550937126804,"ONAWAY","PIBA2",19.5614873684408,64.1781081641759
"212",26009,14.8,-12.19,780.550937126804,"ENSLEY","PIBA2",19.7540126174608,64.8097526819581
"246",26009,14.8,-12.19,780.550937126804,"IOSCO","PIBA2",19.7611691278817,64.8332320468559
"93",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","PIBA2",19.8315406683279,65.0641098042255
"59",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","PIBA2",20.2737003425837,66.5147649034898
"195",26009,14.8,-12.19,780.550937126804,"EMMET","PIBA2",20.5844426341506,67.5342606107304
"467",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","PIBA2",20.8933087180427,68.5476007809799
"382",26009,14.8,-12.19,780.550937126804,"MENOMINEE","PIBA2",21.0369023630898,69.0187085403209
"263",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","PIBA2",21.4930190737271,70.5151544413618
"145",26009,14.8,-12.19,780.550937126804,"DEER PARK","PIMA",14.4223074789433,47.3172817550634
"315",26009,14.8,-12.19,780.550937126804,"KINROSS","PIMA",14.825251831229,48.6392776615124
"179",26009,14.8,-12.19,780.550937126804,"EAST LAKE","PIMA",15.6313749870425,51.2840386713992
"128",26009,14.8,-12.19,780.550937126804,"DAWSON","PIMA",15.6605652514712,51.3798072554831
"349",26009,14.8,-12.19,780.550937126804,"LUPTON","PIMA",15.8668428747678,52.056571111443
"332",26009,14.8,-12.19,780.550937126804,"LEELANAU","PIMA",15.9901666768443,52.4611767613
"434",26009,14.8,-12.19,780.550937126804,"OTISCO","PIMA",16.6662045961065,54.6791489373574
"485",26009,14.8,-12.19,780.550937126804,"TAWAS","PIMA",17.1143181462075,56.1493377500245
"77",26009,14.8,-12.19,780.550937126804,"CATHRO","PIMA",17.3243856580885,56.83853562365
"26",26009,14.8,-12.19,780.550937126804,"ANGELICA","PIMA",17.6953579214766,58.0556362253169
"451",26009,14.8,-12.19,780.550937126804,"RUBICON","PIMA",17.8615732655929,58.6009621574571
"43",26009,14.8,-12.19,780.550937126804,"AU GRES","PIMA",18.0303212301453,59.1545972117629
"366",26009,14.8,-12.19,780.550937126804,"MANCELONA","PIMA",18.2887454794589,60.0024457987495
"298",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","PIMA",18.6698846423147,61.2529023697987
"400",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","PIMA",18.8928569134277,61.9844386923482
"111",26009,14.8,-12.19,780.550937126804,"CROSWELL","PIMA",19.1057089360938,62.6827721000454
"230",26009,14.8,-12.19,780.550937126804,"HALFADAY","PIMA",19.2499648241045,63.1560525725214
"281",26009,14.8,-12.19,780.550937126804,"KALKASKA","PIMA",19.435208296315,63.7638067464403
"213",26009,14.8,-12.19,780.550937126804,"ENSLEY","PIMA",19.6263633646908,64.3909559209016
"247",26009,14.8,-12.19,780.550937126804,"IOSCO","PIMA",19.6498660650693,64.4680645179439
"9",26009,14.8,-12.19,780.550937126804,"ALLENDALE","PIMA",19.6722119580693,64.5413778151879
"162",26009,14.8,-12.19,780.550937126804,"DEFORD","PIMA",19.7533731563591,64.8076547124642
"94",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","PIMA",19.8533933467654,65.135804943456
"417",26009,14.8,-12.19,780.550937126804,"ONAWAY","PIMA",19.9654076905246,65.5033060712751
"60",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","PIMA",20.7382259652145,68.0387990984729
"196",26009,14.8,-12.19,780.550937126804,"EMMET","PIMA",21.008829344151,68.9266054598129
"383",26009,14.8,-12.19,780.550937126804,"MENOMINEE","PIMA",21.3368854637121,70.0029050646723
"468",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","PIMA",21.9683287875761,72.0745695130448
"264",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","PIMA",22.2814188367151,73.1017678369918
"146",26009,14.8,-12.19,780.550937126804,"DEER PARK","PIRE",13.9667416785272,45.8226433022544
"316",26009,14.8,-12.19,780.550937126804,"KINROSS","PIRE",15.0987384357832,49.5365434244856
"180",26009,14.8,-12.19,780.550937126804,"EAST LAKE","PIRE",15.2385034719476,49.9950901310617
"333",26009,14.8,-12.19,780.550937126804,"LEELANAU","PIRE",15.5937055921037,51.160451417663
"435",26009,14.8,-12.19,780.550937126804,"OTISCO","PIRE",16.791541581094,55.0903595180248
"129",26009,14.8,-12.19,780.550937126804,"DAWSON","PIRE",17.0495569710457,55.9368667029058
"452",26009,14.8,-12.19,780.550937126804,"RUBICON","PIRE",17.4288579242171,57.1812924022871
"350",26009,14.8,-12.19,780.550937126804,"LUPTON","PIRE",17.6562129947825,57.9272079881317
"367",26009,14.8,-12.19,780.550937126804,"MANCELONA","PIRE",17.6983995558157,58.0656153406027
"486",26009,14.8,-12.19,780.550937126804,"TAWAS","PIRE",18.1032908629818,59.3939988942972
"27",26009,14.8,-12.19,780.550937126804,"ANGELICA","PIRE",18.1618812581531,59.5862246002397
"44",26009,14.8,-12.19,780.550937126804,"AU GRES","PIRE",18.1752047331368,59.6299367885065
"112",26009,14.8,-12.19,780.550937126804,"CROSWELL","PIRE",18.9324126070693,62.1142145901222
"282",26009,14.8,-12.19,780.550937126804,"KALKASKA","PIRE",18.9808502000729,62.2731305776669
"78",26009,14.8,-12.19,780.550937126804,"CATHRO","PIRE",18.9846371299289,62.285554888218
"231",26009,14.8,-12.19,780.550937126804,"HALFADAY","PIRE",19.2196050201337,63.0564469164492
"299",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","PIRE",19.2509209006574,63.1591893066188
"401",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","PIRE",19.2853311116721,63.2720836997118
"10",26009,14.8,-12.19,780.550937126804,"ALLENDALE","PIRE",19.6009868924243,64.3076997782948
"163",26009,14.8,-12.19,780.550937126804,"DEFORD","PIRE",19.7440312073433,64.777005273436
"418",26009,14.8,-12.19,780.550937126804,"ONAWAY","PIRE",19.8660138919819,65.1772109316992
"214",26009,14.8,-12.19,780.550937126804,"ENSLEY","PIRE",20.0615363080206,65.8186886746083
"248",26009,14.8,-12.19,780.550937126804,"IOSCO","PIRE",20.0688042285402,65.8425335582028
"95",26009,14.8,-12.19,780.550937126804,"CHARLEVOIX","PIRE",20.1402712889827,66.0770055412819
"61",26009,14.8,-12.19,780.550937126804,"BLUE LAKE","PIRE",20.5893143533363,67.5502439413921
"197",26009,14.8,-12.19,780.550937126804,"EMMET","PIRE",20.9048941742785,68.5856108080004
"469",26009,14.8,-12.19,780.550937126804,"SPRINGLAKE","PIRE",21.2185685793885,69.6147263103296
"384",26009,14.8,-12.19,780.550937126804,"MENOMINEE","PIRE",21.3643976410328,70.0931681136246
"265",26009,14.8,-12.19,780.550937126804,"ISLANDLAKE","PIRE",21.8276150201214,71.612910171002
"147",26009,14.8,-12.19,780.550937126804,"DEER PARK","PIST",13.6149259888063,44.6683923517267
"317",26009,14.8,-12.19,780.550937126804,"KINROSS","PIST",14.7184082772562,48.2887410671135
"181",26009,14.8,-12.19,780.550937126804,"EAST LAKE","PIST",14.8546526975369,48.7357371966433
"334",26009,14.8,-12.19,780.550937126804,"LEELANAU","PIST",15.2009074424376,49.8717435775511
"436",26009,14.8,-12.19,780.550937126804,"OTISCO","PIST",16.3685705031717,53.7026591311406
"130",26009,14.8,-12.19,780.550937126804,"DAWSON","PIST",16.6200866061412,54.5278431960014
"453",26009,14.8,-12.19,780.550937126804,"RUBICON","PIST",16.9898331457262,55.7409223941148
"351",26009,14.8,-12.19,780.550937126804,"LUPTON","PIST",17.2114612484129,56.4680487152656
"368",26009,14.8,-12.19,780.550937126804,"MANCELONA","PIST",17.2525851497071,56.6029696512701
"487",26009,14.8,-12.19,780.550937126804,"TAWAS","PIST",17.6472774342399,57.8978918446192
"28",26009,14.8,-12.19,780.550937126804,"ANGELICA","PIST",17.7043919647634,58.0852754749455
"45",26009,14.8,-12.19,780.550937126804,"AU GRES","PIST",17.7173798276445,58.1278865736369
"113",26009,14.8,-12.19,780.550937126804,"CROSWELL","PIST",18.4555139894284,60.5495865794896
"283",26009,14.8,-12.19,780.550937126804,"KALKASKA","PIST",18.5027314621217,60.7044995476435
"79",26009,14.8,-12.19,780.550937126804,"CATHRO","PIST",18.506423000986,60.7166108956235
"232",26009,14.8,-12.19,780.550937126804,"HALFADAY","PIST",18.7354721599465,61.4680845142603
"300",26009,14.8,-12.19,780.550937126804,"KAWKAWLIN","PIST",18.7659992080883,61.5682388716808
"402",26009,14.8,-12.19,780.550937126804,"MORGANLAKE","PIST",18.7995426419835,61.6782895078199
"11",26009,14.8,-12.19,780.550937126804,"ALLENDALE","PIST",19.1072472012714,62.6878189018091
"164",26009,14.8,-12.19,780.550937126804,"DEFORD","PIST",19.2466882968088,63.1453028110526
"419",26009,14.8,-12.19,780.550937126804,"ONAWAY","PIST",19.3655982946807,63.5354274759865
"215",26009,14.8,-12.19,780.550937126804,"ENSLEY","PIST",19.5561955925181,64.1607466946131
